[yt-subtitles] Using cached video: KAD PORASTEM BIĆU KENGUR (2004) - domaći film (HD).mp4
[yt-subtitles] Extracting audio for transcription...
[yt-subtitles] Found 206 speech chunk(s).
Model: openai_whisper-small
  Downloading.... done
Model path: /Users/dsa/.yt-subtitles/models/models/argmaxinc/whisperkit-coreml/openai_whisper-small
Loading model (cached)
Model ready (1.4s). Compute: Mel=CPU+GPU, AudioEnc=CPU+ANE, TextDec=CPU+ANE
Transcribing chunk 108/206 (6.8s)... ok, 2.3s wall, 3.0x realtime
Transcribing chunk 109/206 (7.3s)... ok, 1.2s wall, 6.4x realtime
Transcribing chunk 110/206 (8.0s)... ok, 1.7s wall, 4.7x realtime
Transcribing chunk 111/206 (26.2s)... ok, 13.7s wall, 1.9x realtime
Transcribing chunk 112/206 (19.6s)... ok, 1.9s wall, 10.1x realtime
Transcribing chunk 113/206 (31.9s)... ok, 3.8s wall, 8.3x realtime
Transcribing chunk 114/206 (32.2s)... ok, 3.9s wall, 8.4x realtime
Transcribing chunk 115/206 (12.4s)... ok, 1.8s wall, 6.7x realtime
Transcribing chunk 116/206 (5.2s)... ok, 642ms wall, 8.2x realtime
Transcribing chunk 117/206 (5.2s)... ok, 1.3s wall, 4.0x realtime
Transcribing chunk 118/206 (34.5s)... ok, 5.5s wall, 6.3x realtime
Transcribing chunk 119/206 (54.4s)... ok, 6.9s wall, 7.9x realtime
Transcribing chunk 120/206 (14.9s)... ok, 3.7s wall, 4.0x realtime
Transcribing chunk 121/206 (117.8s)... ok, 37.9s wall, 3.1x realtime
Transcribing chunk 122/206 (9.9s)... ok, 366ms wall, 27.2x realtime
Transcribing chunk 123/206 (4.4s)... ok, 419ms wall, 10.6x realtime
Transcribing chunk 124/206 (4.5s)... ok, 341ms wall, 13.2x realtime
Transcribing chunk 125/206 (3.7s)... ok, 1.3s wall, 2.8x realtime
Transcribing chunk 126/206 (140.6s)... ok, 32.4s wall, 4.3x realtime
Transcribing chunk 127/206 (3.0s)... ok, 540ms wall, 5.6x realtime
Transcribing chunk 128/206 (2.8s)... ok, 553ms wall, 5.1x realtime
Transcribing chunk 129/206 (2.5s)... ok, 422ms wall, 6.0x realtime
Transcribing chunk 130/206 (5.4s)... ok, 634ms wall, 8.5x realtime
Transcribing chunk 131/206 (10.3s)... ok, 8.0s wall, 1.3x realtime
Transcribing chunk 132/206 (14.1s)... ok, 1.8s wall, 7.8x realtime
Transcribing chunk 133/206 (4.1s)... ok, 867ms wall, 4.7x realtime
Transcribing chunk 134/206 (3.5s)... ok, 380ms wall, 9.2x realtime
Transcribing chunk 135/206 (3.5s)... ok, 591ms wall, 6.0x realtime
Transcribing chunk 136/206 (6.6s)... ok, 2.0s wall, 3.3x realtime
Transcribing chunk 137/206 (80.2s)... ok, 19.1s wall, 4.2x realtime
Transcribing chunk 138/206 (109.8s)... ok, 58.8s wall, 1.9x realtime
Transcribing chunk 139/206 (19.0s)... ok, 15.9s wall, 1.2x realtime
Transcribing chunk 140/206 (16.5s)... ok, 2.5s wall, 6.7x realtime
Transcribing chunk 141/206 (84.8s)... ok, 10.6s wall, 8.0x realtime
Transcribing chunk 142/206 (7.2s)... ok, 1.6s wall, 4.5x realtime
Transcribing chunk 143/206 (12.2s)... ok, 6.3s wall, 1.9x realtime
Transcribing chunk 144/206 (4.7s)... ok, 491ms wall, 9.6x realtime
Transcribing chunk 145/206 (270.1s)... ok, 69.9s wall, 3.9x realtime
Transcribing chunk 146/206 (26.0s)... ok, 5.7s wall, 4.6x realtime
Transcribing chunk 147/206 (5.3s)... ok, 448ms wall, 11.8x realtime
Transcribing chunk 148/206 (21.2s)... ok, 4.5s wall, 4.7x realtime
Transcribing chunk 149/206 (6.8s)... ok, 922ms wall, 7.3x realtime
Transcribing chunk 150/206 (4.7s)... ok, 575ms wall, 8.1x realtime
Transcribing chunk 151/206 (3.5s)... ok, 491ms wall, 7.1x realtime
Transcribing chunk 152/206 (6.2s)... ok, 1.8s wall, 3.4x realtime
